"","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct65up","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctKidsBornNeverMar","NumImmig","PctImmigRec10","PctRecImmig10","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccMedVal","RentMedian","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","murders","rapes","robberies","assaults","burglaries","larcenies","autoTheft","arsons","ViolentCrimesPerPop","nonViolPerPop"
"11",101484,2.83,5.83,87.21,2.63,8.77,14.14,4.73,35934,89.64,0.85,34.13,13.22,4.08,9.17,40198,14115,14509,11766,13014,12912,1895,10522,7.73,5.36,18.76,18.31,4.74,74.16,14.53,18.82,11.26,25.69,10.29,23.44,15.87,3.23,77.5,74.52,84.99,75.71,70.98,76.4,1.78,4.66181861180088,44.56,2.08,1.19,4.66,3.62,2.81,2.99,2.5,67.55,4.75,36.41,3,3395,91.35,63.45,5.24,40.27,1977,3.79,0.16,68700,397,469,24.3,21.3,12.7,4.66,67.97,43.88,83.76,92.25,44.4,2286.9,1.22,5,84,60,391,421.035483870968,1036,575,175,1445,2174.76201556006
"12",24656,2.7,24.63,73,1.13,3.12,13.67,9.97,36995,84.91,0.36,42.77,22.53,4.16,14.99,41144,14756,16183,11041,17135,12511,1728,8651,4.89,5.02,13.06,24.93,4.94,67.87,14.73,28.66,11.49,30.45,8.64,31,16.2,3.14,71.03,70.17,84.99,73.42,67.92,75.25,3.72,3.37848799480857,21.73,0.73,0.67,4.83,3.55,2.65,2.7,2.53,70.95,1.63,44.74,3,323,96.58,69.66,0.31,16.1,1955,1.03,0.15,58800,397,479,22.7,18.7,11.4,3.38,70.72,57.89,85.21,94.8,5.1,4826.9,11.71,2,2606.2513108275,170,259,79,1042,38,101,12318.5079121816,643
"13",86335,2.5,1.61,94.71,3.09,0.93,11.69,9.12,41736,86.85,0.99,56.86,19.95,2.63,14.41,48608,20032,20459,14558,21025,10484,201,11868,3.7,2.51,8.76,31.69,3.28,74.28,17.21,21.96,9.56,31.64,7.74,30.48,10.92,2.95,80.21,80.39,88.29,82.66,72.26,78.55,1.27,4.04355128279377,39.62,1.6,0.71,2.84,1.97,2.47,2.71,1.92,77.03,1.41,42.58,3,1327,96.29,70.35,0.15,22.61,1967,0.63,0.18,97500,545,574,25.8,20,11.3,4.04,66.76,54.64,82.23,90.48,36.8,2345.2,3.14,4,3660.2417381814,345,12,771,831,418,2940.139961,4657.71904578838,5745.22495048358
"14",51464,2.9,2.53,92.97,3.78,2.04,15.12,8.11,52208,88.99,0.96,65.08,17.33,1.94,11.43,60709,22433,22966,14063,29209,16808,125,14770,5.12,3.52,7.8,49.38,2.42,70.3,15.33,31.86,5.38,44.93,5.4,30.22,9.02,3.21,87.46,87.61,95.25,85.32,59.06,67.26,0.68,6.45111145655215,41.23,2.66,1.15,4.34,3.37,2.74,2.93,2.19,79.69,1.32,33.72,3,860,95.38,74.54,0.23,18.6,1971,0.43,0.09,148700,590,646,26.8,22.3,12.1,6.45,58.52,46.01,71.51,83.26,11.5,4486.1,9.74,0,4597.4314197177,403,203,298,38,253,79,10110.8180858808,415
"15",22608,2.91,0.69,98.03,0.43,1.3,14.36,6.34,42549,87.81,0.98,44.73,17.54,5.63,13.94,46578,16750,16833,8975,12763,21196,190,10504,4.36,3.75,16.57,16.76,6.2,67.54,24.3,20.98,14.48,24.36,9.43,26.86,12.04,3.22,82.93,80.98,92.8,79.86,64.5,71.03,2.64,2.05237084217976,11.85,0.24,0.23,4.46,3.6,2.87,2.91,2.53,90.45,2.06,32.43,3,491,94.06,89.13,0.61,47.66,1970,1.57,0.1,97000,457,543,23.8,17.9,12.9,2.05,84.3,57.66,87.87,96.67,34.8,648.8,0.18,0,2057.475002451,206,452,169,1139,452,173,12011.1243915915,848
"16",17668,2.52,16.58,78.17,4.04,2.1,12.19,4.7,34639,90.23,0.49,42.93,10.11,3.63,7.36,45597,16936,17590,14319,18757,15891,78,11734,9.33,3.49,12.12,38.51,3.78,71.33,19.48,35.05,6.88,38.1,9.89,42.59,12.66,3.01,74.43,73.64,85.57,76.42,65.42,73.58,5.53,8.20692777903554,49.79,4.09,0.93,3.71,2.15,2.33,2.95,1.93,50.21,2.54,66.88,2,774,90.07,39.76,0.13,26.49,1975,2.34,0,118800,531,585,24.5,21.8,14,8.21,60.66,29.96,60.74,81.92,29.1,606.6,2.48,0,3060.89962648,275,404,350,131,12,154,21167.6456105954,2006
"17",11663,3.01,0.17,98.04,1.29,1.73,11.76,4.82,53665,94.1,1.08,57.19,13.23,0.18,9.95,55955,19255,19257,21002,900,26681,595,14413,1.65,1.77,9.45,32.89,2.29,75.69,21.62,17.69,9.29,33.16,5.53,20.64,6.77,3.32,92.11,91.8,98.59,88.86,53,60.18,0.48,4.5271371002315,16.86,0.76,0.26,3.95,3.33,3.01,3.11,2.15,92.43,0.93,20,3,100,97.48,89.42,2,31,1980,0.93,0.28,133300,472,527,20.5,23.9,13.5,4.51,70.13,43.22,55.18,90.13,5.4,2148.7,3.2,0,171.0235914764,131,484,577,466,470,140,6739.46318679928,279
"18",23930,2.87,38.14,58.5,1.17,4.53,14,12.41,36724,80.2,0.28,40.22,29.29,4.66,17.69,39916,14063,14561,13401,6444,15624,284,11634,4.93,6.65,21.38,12.55,6.76,62.79,16.56,22.26,16.37,22.31,9.68,29.61,12.81,3.23,70.37,67.79,86.83,72.46,68.41,75.79,3.18,4.34183033848725,15.11,0.66,0.83,5.94,4.7,2.83,2.9,2.45,85.93,2.75,25.72,3,257,97.01,83.78,2.33,30.35,1961,1.16,0.28,65100,451,526,24.1,21,12.7,4.34,75.17,58.15,95.52,96.42,4.7,5104.5,12.33,0,1042.3491003514,374,322,290,30,332,3,7264.30881885249,1691
"19",10130,2.56,0.75,97.92,0.62,1.33,13.6,14.14,23642,72.1,0.37,36.01,34.62,7.37,17.03,30382,11981,12088,4239,11079,11351,905,4749,11.86,10.41,25.24,12.26,5.25,60.57,38.51,17.43,29.51,17.43,11.21,25.77,15.88,3.08,67.94,66.02,74.81,77.51,71.32,75.33,0.82,2.02369200394867,33.66,0.68,0.25,3.99,2.73,2.5,2.71,2.16,66.93,1.54,45.7,3,193,95.35,61.64,1.04,23.32,1950,13.48,0.17,40200,275,322,26.5,16.8,13.5,2.02,64.57,54.96,84.78,90.51,5.3,1925.9,0.09,0,1673.5979405261,131,171,668,727,138,50,19502.4475866347,877
"20",35710,2.3,2.61,93.49,2.81,1.07,10.55,15.75,32405,79.89,0.48,53.98,29.94,4.4,19.53,39977,15992,16425,10234,8998,8594,607,11804,5.55,4.34,11.92,20.91,3.61,68.81,16.33,22.03,12.22,25.24,9.26,31.14,11.61,2.85,73.49,74.37,85.37,72.93,74.61,80.98,1.93,3.93727247269672,52.2,2.06,0.73,2.81,1.77,2.29,2.53,1.79,74.06,1.64,50.99,2,543,96.63,66.92,0.18,18.05,1956,0.85,0,84800,438,457,27,20.3,11.4,3.94,69.35,58.81,84.59,91.27,7.1,5009.5,6.04,0,1552.396591672,261,480,486,79,147,122,6422.28113041725,1261
"21",22902,2.72,4.62,93.26,0.84,1.81,13.85,12.96,29088,73.08,0.56,41.94,29.24,13.49,17.67,35364,13146,13323,12601,4532,11086,873,6141,15.39,12.86,30.11,14.23,7.38,53.96,25.38,23.21,20.83,22.35,9.87,28.67,12.43,3.18,69.43,67.56,67.65,75.44,51.06,60.79,4.38,2.41900270718715,37.73,0.91,0.85,4.91,3.5,2.62,2.76,2.4,63.65,2.1,42.99,3,410,95.36,60.39,3.41,35.61,1947,4.08,0.1,65100,347,412,28.8,15.6,14.3,2.42,70.33,58.47,87.55,92.57,9.3,2458.4,0.5,0,844.574689982,149,557,259,1250,499,20,6770.47720715221,1090
"22",109592,2.63,9.04,81.98,7.69,2.58,23.19,6.29,33344,86.61,0.81,60.29,14.36,3.2,10.07,50192,17786,19119,11835,10166,11657,1672,11531,16.08,2.22,6.08,64.22,3.81,64.65,10.56,53.07,4.53,47.65,5.81,54.22,10.29,2.94,75.87,75.13,89.53,71.98,63.75,72.82,2.58,10.8995182130082,56.84,6.2,1.41,3.19,2.59,2.32,2.59,2.13,48.08,3.19,57.98,2,2353,94.65,43.2,1.1,27.33,1963,1.05,0.15,116400,529,568,30,20.4,12.9,10.9,51.16,32.91,55.4,75.63,26.8,4085,5.7,2,2619.6279811825,49,287,42,892,276,92,2698.76266623704,1319
"23",140761,2.61,47.94,49.58,0.49,2.85,15.83,9.58,20176,65.55,0.22,27.04,27.15,23.81,19.86,25083,10415,12350,8464,8300,14339,1579,8330,30.58,8.86,30.71,10.31,18.29,45.96,29.48,24.76,25.91,18.45,15.31,39.75,20.1,3.17,42.57,39.1,47.34,47.15,50.33,57.44,12.65,1.6240293831388,13.17,0.21,0.64,6.9,4.58,2.56,2.59,2.52,58.81,4.38,49.86,3,4830,91.78,58.09,20.85,45.28,1953,10.3,0.5,33900,300,375,35.1,16.7,14.2,1.62,68.81,55.55,91.37,94.85,35.1,4015.8,2.43,48,3586.758324566,10,215,518,1280,242,89,2742.06514912938,17
"24",31828,2.86,33.32,64.22,1.97,2.28,15.81,11.31,18506,69.44,0.57,25.37,28.47,14.23,12.76,21610,8740,10816,4952,9956,4702,656,10001,28.67,23.72,42.88,9.88,13.03,49.77,14.46,19.25,21.57,17.68,10.26,30.07,13.58,3.36,64.43,58.17,67.61,62.3,60.12,65.39,7.04,2.4004021616187,62.43,1.5,1.77,8.76,6.48,2.82,2.81,2.83,60.93,8.11,51.71,2,1283,89.67,61.12,5.14,53.16,1962,10.32,1.01,46700,193,291,27.2,19.4,13.3,2.4,89.21,60.27,90.66,96.49,10.5,3024.3,0.29,2,36,298,404,637,226,607,1392.1868008,1030,8992.66935025764
"25",23755,2.72,58.44,41,0.43,0.29,16.96,13.84,15917,64.31,0.73,23.41,36.45,19.72,14.93,20385,8844,14108,5143,913,16380,2,5584,35.71,16.59,39.46,15.59,10.89,46.94,23.33,28.76,21.95,25.57,10.73,34.3,15.26,3.3,50.33,42.57,56.43,54.01,59.79,61.43,13.18,0.644074931593349,73.86,0.48,0.51,8.5,5.88,2.64,2.63,2.65,53.23,5.78,44.17,3,825,91.37,53.35,2.91,49.21,1963,11.5,1.92,45500,161,264,29.1,17.8,13.7,0.64,86.06,58.4,87.29,94.14,14.4,1647.8,0.29,8,95,388,476,685,405,78,127.5612314,990,5453.84648031993
"26",85493,2.47,0.87,95.89,0.9,0.6,15.93,14.85,23370,70.64,0.43,45.16,32.25,9.7,18.09,31431,12484,12733,7500,6606,7360,1143,9377,16.57,6.48,18.58,22.51,7.22,55.07,8.4,33.9,11.06,28.55,9.25,35.33,12.13,2.97,69.42,69.45,76.46,73.91,58.21,69.97,2.84,2.41306305779421,24.19,0.58,0.51,3.17,2.09,2.36,2.58,1.94,70.69,1.35,50.05,2,1459,95.95,64.45,2.33,36.19,1939,2.79,0.29,46300,287,312,29.4,15.5,12.4,2.41,75.95,54.5,81.66,92.46,70,1220.6,5.85,6,1663.2540852807,308,186,849,758,286,28,2530.3288986007,1396
"27",24093,2.74,8.16,89.99,0.26,2.08,15.08,9.47,30160,74.51,0.52,33.82,26.39,11.82,24.08,35113,12531,12936,8902,10072,9096,1015,7505,13.77,8.36,27.6,5.6,11.36,52.95,32.47,18.89,25.19,16,10.87,25.79,14.71,3.11,66.84,65.5,70.32,76.73,55.58,61.72,3.74,1.49005935333914,16.99,0.25,0.32,4.38,3.42,2.74,2.75,2.66,84.75,2.51,41.45,3,438,95.25,84.31,6.16,53.42,1962,4.14,0.09,48300,299,395,35.1,15.7,14.2,1.49,81.92,64.11,93.41,97.68,30.5,791.2,0.51,2,1645.5488898257,74,552,377,992,624,173,9436.55372857552,806
"28",54523,2.58,1.27,88.19,0.99,2.23,14.46,10.26,25740,78.54,1.83,44.5,24.57,6.79,14.98,31056,12469,13310,10045,5269,8910,1470,10978,13.65,6.52,15.07,23.35,5.21,65.82,11.89,26.65,11.29,26.3,9.31,30.05,13.63,3.06,72.67,70.31,77.67,73.69,67.14,74.86,2.62,2.118372063166,39.22,0.83,0.58,4.6,3.14,2.51,2.66,2.31,60.63,2.86,48.66,3,1378,93.88,57.27,1.09,19.3,1967,4.9,0.24,56800,335,396,26.6,21.8,12.9,2.12,55.05,42.47,67.48,77.85,36.6,1489.4,0.46,1,109,170,147,601,691,103,736.7295362,1230,3909.78034260771
"29",37093,2.78,0.77,91,7.42,2.42,12.17,11.83,59020,83.39,0.91,69.37,23.06,1.89,12.69,67412,30531,31602,15439,12993,20991,1913,17763,1.71,2.94,7.79,46.21,2.42,67.1,15.42,28.1,4.91,45.2,4.91,25.34,7.87,3.16,89.47,89.92,96.08,88.02,50.93,61.18,0.48,11.2797562882485,27.92,3.15,1.99,3.76,2.97,2.75,2.82,2.31,87.71,1.08,29.18,3,415,96.98,85.4,0.48,23.86,1963,0.54,0,235600,694,777,24.2,20.3,12,11.28,64.88,59.26,88.84,91.02,12.4,2996.2,9.71,1,2057.496420174,265,161,133,1245,323,2,6698.01962681368,417
"30",37819,2.57,1.72,95.56,1.92,1.67,14.51,10.54,39087,79.66,0.55,59.98,23.69,5.61,17.36,49387,19347,19367,20207,8298,20983,399,15115,9.26,4.43,11.52,42.21,4.97,61.64,38.7,25.58,7.02,43.51,6.31,28.34,10.54,3.02,82.21,82.29,90.91,81.95,52.51,64.04,1.01,4.44221158676855,42.38,1.88,0.4,3.03,2.18,2.49,2.71,1.99,75.19,1.05,36.29,3,629,95.9,69,1.11,24.17,1964,2.05,0.08,74200,370,422,25.2,16.8,11.2,4.44,66.69,49.31,72.29,85.62,28.2,1341.7,0.29,0,1493.5091971064,4,378,41,1416,334,140,4959.17183718871,552
"31",18827,2.59,48.1,51.62,0.16,0.4,14.29,16.39,16997,63.58,0.71,27.96,40.81,15.06,17.19,20873,11208,16980,5021,235,10085,2,2835,30.18,14.55,36.81,18.14,9.03,46.67,19.36,28.81,16.96,26.1,11.48,29.67,14.38,3.19,54.87,46.84,60.02,54.47,56.77,62.6,9.97,0.456790779200085,34.88,0.16,0.34,8.25,5.6,2.54,2.5,2.6,59.89,4.89,40.02,3,1114,86.71,60.85,4.58,55.83,1957,12.72,1.16,42400,168,256,27.4,20.2,13.8,0.46,83.02,52.95,88.1,94,15.9,1180.5,0,3,32,314,262.286666666667,564,117,14,164,3246.86177652662,2023
"32",15116,2.45,0.23,98.08,0.58,0.69,14.71,14.42,27373,73.39,0,49.97,30.7,4.71,16.77,34413,14636,14782,7210,6792,5843,725,7740,8.7,6.31,15.93,28.71,4.19,61.79,11.34,29.72,10.15,31.8,10.13,33.7,14.36,2.95,74.12,73.84,86.24,74.68,61.91,74.61,1.42,2.15003969304049,7.38,0.16,0.27,4.05,2.44,2.32,2.5,2.03,66.44,0.99,45.03,3,353,94.6,61.69,3.12,38.53,1949,0.97,0.57,64700,389,439,27.1,20.9,13.8,2.15,78.94,49.44,74.22,92.38,8.2,1838.9,0.83,0,1137.4152536451,131,276,902,1176,74,50,10217.0895319205,1283
"33",10764,2.62,1.2,96.79,0.76,1.37,14.08,11.06,30200,78.38,0.78,43.97,29.35,10.29,18.77,34723,13424,13608,7416,2154,8815,573,8926,11.94,8.18,24.27,10.88,8.18,58.07,28.21,19.5,19.45,21.21,12.55,23.81,13.43,3.01,77.13,74.77,82.39,81.46,62.43,70.66,1.57,2.22965440356745,27.08,0.6,0.28,3.24,2.41,2.58,2.65,2.27,84.08,1.83,42.82,3,191,95.55,81.9,2.09,29.84,1959,3.58,0.61,50000,314,408,26.4,15.2,14,2.23,76.66,61,86.76,92.7,33.4,322.2,0,1,396.1586064863,90,417,147,890,355,35,8399.83841031494,1475
"34",80277,2.73,18.75,77.28,1.87,2.68,22.64,9.28,23207,75.55,0.62,40.35,23.76,13.37,13.75,29869,11956,13501,6459,6103,9944,1164,6303,26.23,6.86,20.41,29.79,9.17,56.5,17.61,33.84,13.01,28.8,10.26,49.1,13.6,3.03,57.08,53.51,63.47,55.54,58.67,66.93,9.05,4.72489006813907,52.41,2.48,0.84,5.65,3.42,2.41,2.58,2.25,50.72,3.25,55.9,2,2079,93.4,47.36,5.77,34.15,1953,6.94,0.25,48600,357,403,30.1,17.8,14.4,4.72,68.59,37.68,67.15,89.14,25.5,3153.6,2.49,8,1902.9064077325,168,285,98,901,429,170,2944.68703082141,1834
"35",15134,2.53,0.35,97.58,0.44,0.59,12.83,14.34,27111,74.91,1.22,48.3,31.8,5.43,14.46,35186,13161,13404,3832,3913,2127,1053,8198,9.53,11.66,21.86,15.23,4.52,62.09,22.33,24.89,17.56,22.21,8.32,28.04,9.37,3.04,77.69,76.23,90.49,80.51,71.96,79.84,1.59,0.799524250033038,12.4,0.1,0.34,3.32,2.21,2.42,2.68,1.84,76.32,0.99,47.82,3,203,96.71,68.88,1.97,26.11,1958,3.58,0.39,64600,284,337,26,17.2,12.4,0.8,74.23,52.8,77.44,89.46,36.1,419.1,1.02,2,654.3528482527,265,182,35,1142,386,122,7290.5566819922,1282
"36",27973,2.91,2.77,81.67,13.29,6.17,14.07,3.94,42822,94.04,0.49,43.98,10.73,2.75,6.09,46085,15715,16313,16807,14279,12697,80,10834,2.7,5.66,15.79,23.88,4.16,78.79,24,15.92,14.56,25.97,7.13,31.37,10.06,3.43,85.17,83.34,94.18,82.19,63.61,74.01,1.11,15.3040431844993,47.05,7.2,3.51,7.39,5.49,2.91,3.21,2.22,76.79,3.35,47.74,3,597,94.15,69.51,0.34,9.72,1975,1.22,0.24,105500,563,623,24.3,23.4,12.4,15.3,65.01,47.93,70.54,87.87,5.3,5254.1,3.81,0,2335.5498414782,353,171,823,1185,386,79,10222.5354501777,520
"37",139426,2.54,14.97,81.13,1.54,4.19,13.31,12.83,28282,75.6,0.62,41.48,28,8.61,13.93,34985,14109,15383,8351,9060,11982,1578,7918,13.35,8.89,25.24,18.72,6.11,61.04,31.93,21.56,18.66,24.86,11.15,29.78,14.27,3.06,66.76,63.79,69.32,72.37,60.04,68.72,5.7,4.86709795877383,32.52,1.58,1.52,4.62,3.1,2.47,2.65,2.2,64.07,2.56,50.02,2,3307,94.31,59.63,10.07,39.58,1955,5.67,0.32,56300,291,367,24.6,17.5,13.1,4.87,66.11,52.83,85.56,91.73,46.6,2992.2,1.55,22,2935.2588438496,373,46,517,1341,37,136,2421.54178119547,2082
